Disease,Symptom,Solution,Early Detection Symptom
Potato_Healthy,No visible signs of disease,No action required maintain regular monitoring to ensure early intervention if symptoms develop,No signs of disease
Potato_Late_Blight,Water-soaked lesions form on leaves often starting at the leaf tips or edges The lesions turn brown and the undersides of the leaves may exhibit white fungal growth in humid conditions Stems and tubers may also be affected,Apply fungicides such as metalaxyl or mancozeb at the first sign of infection Remove and destroy infected plants Ensure proper spacing between plants to improve air circulation,Small dark green water-soaked spots on the leaves that rapidly spread especially in humid conditions
Rice_Brown_Spot,Small circular or oval brown spots with gray centers form on leaves and sometimes on grains Severe infections reduce photosynthesis and lead to yield losses,Use fungicides such as carbendazim or mancozeb Ensure balanced soil nutrition especially adequate levels of potassium and phosphorus to reduce susceptibility to the disease,Tiny brown lesions with yellow halos appearing on seedling leaves
Rice_Healthy,No visible signs of disease,No action required maintain regular monitoring to ensure early intervention if symptoms develop,No signs of disease
Rice_Leaf_Blast,Diamond-shaped gray spots with brown margins appear on the leaf tips In severe cases the lesions spread rapidly causing significant tissue loss and reducing the plant's ability to photosynthesize,Apply fungicides like tricyclazole or isoprothiolane at the first sign of infection Use resistant rice varieties and practice water management to reduce humidity around the plants,Small white or grayish spots forming at the tips of leaves
Rice_Neck_Blast,Brown lesions form on the neck of the panicle weakening the panicle and leading to poor grain fill and panicle collapse,Use preventive fungicides like tricyclazole at the booting stage Effective water management and maintaining field hygiene can reduce the spread of the disease,Early wilting or drooping of the neck or panicle
Sugarcane_Bacterial_Blight,Yellow water-soaked lesions form on the leaves which then turn red or brown Severe infections lead to leaf blight and reduced sugar content in the stalk,Use copper-based bactericides and ensure good sanitation practices such as removing infected debris and avoiding mechanical damage to plants,Small translucent yellowish lesions forming on younger leaves
Sugarcane_Healthy,No visible signs of disease,No action required maintain regular monitoring to ensure early intervention if symptoms develop,No signs of disease
Sugarcane_Red_Rot,Red discoloration develops internally in the stalk with white patches The affected stalks are weakened and often collapse The disease can spread quickly leading to the death of the plant,Destroy infected plants and treat the field with fungicides like carbendazim Ensure crop rotation and field hygiene to reduce the risk of future infections,Early drying of leaves and reddening of the internal stalk
Wheat_Brown_Rust,Small orange-brown pustules form on the upper surface of the leaves In severe infections the rust spores can cover most of the leaf surface leading to significant yield loss,Apply fungicides like tebuconazole at the first sign of rust Plant rust-resistant varieties and rotate crops to reduce disease pressure,Small pale yellow spots forming on the leaves usually seen early in the season
Wheat_Healthy,No visible signs of disease,No action required maintain regular monitoring to ensure early intervention if symptoms develop,No signs of disease
Wheat_Yellow_Rust,Yellow stripe-like pustules form on the leaves and stems spreading rapidly in cool moist conditions Severe infections can cause premature leaf death and reduce grain fill,Apply fungicides like triadimefon or propiconazole Plant resistant varieties and monitor crops regularly especially in cooler climates,Pale yellow streaks forming along the veins of the leaves
